Arabic,"أنا تظهر قدرتي على الكلام 20 لغة. يمكننى تحدث الأنجليزية! آمل أن تكونوا مثل هجتي!"
Brazilian,"Eu estou mostrando minha capacidade de falar 20 línguas. Eu posso falar brasileiro! Espero que gostem do meu sotaque!"
Chinese,"我显示我讲20种语言的能力。我可以说中国人！我希望你喜欢我的口音！"
Czech,"Já jsem ukazovat svou schopnost mluvit 20 jazyků. Můžu mluvit česky! Doufám, že se vám líbí můj přízvuk!"
Danish,"Jeg viser min evne til at tale 20 sprog. Jeg kan tale dansk! Jeg håber du kan lide min accent!"
Dutch,"Ik laat mijn vermogen om 20 talen spreken. Ik kan spreken nederlands! Ik hoop dat je mijn accent!"
English,"I am showing my ability to speak 20 languages. I can speak english! I hope you like my accent! "
Finnish,"Minulla näkyy kykyni puhua 20 kielellä. Voin puhua suomea! Toivottavasti pidät minun aksentti!"
French,"Je montre ma capacité à parler 20 langues. Je peux parler français! J'espère que vous aimez mon accent!"
Greek,"Είμαι αποδεικνύοντας την ικανότητά μου να μιλούν 20 γλώσσες. Μπορώ να μιλήσω ελληνικά! Ελπίζω να σας αρέσει η προφορά μου!"
German,"Ich zeige meine Fähigkeit, 20 Sprachen sprechen. Ich kann sprechen Deutsch! Ich hoffe, dass Sie meinen Akzent gefällt!"
Italian,"Sto mostrando la mia capacità di parlare 20 lingue. Posso parlare italiano! Spero che vi piaccia il mio accento!"
Japanese,"私は20の言語を話すために私の能力を示すのです。私は日本の話すことができます！私は、あなたが私のアクセントが好き願っています！"
Korean,"나는 20 개 언어를 구사하는 나의 능력을 보여주는입니다. 나는 한국어 말할 수있다! 난 당신이 내 악센트를 좋아 바랍니다!"
Norwegian,"Jeg viser min evne til å snakke 20 språk. Jeg kan snakke norsk! Jeg håper du liker min aksent!"
Polish,"Pokazuję moją zdolność do wypowiadania się 20 języków. Mogę mówić po polsku! Mam nadzieję, że podoba Ci się mój akcent!"
Portuguese,"Eu estou mostrando minha capacidade de falar 20 línguas. Eu posso falar português! Espero que gostem do meu sotaque!"
Russian,"Я показываю мою способность говорить на 20 языках. Я могу говорить по-русски! Я надеюсь, вам понравится мой акцент!"
Spanish,"Estoy mostrando mi capacidad de hablar 20 idiomas. ¡Puedo hablar español! Espero que os guste mi acento!"
Swedish,"Jag visar min förmåga att tala 20 språk. Jag kan tala svenska! Jag hoppas att du gillar min accent!"
Turkish,"Ben 20 dilde konuşmak için benim yeteneği gösteriyorum. Ben Türk konuşabilir! Benim aksanı gibi umut!"
